Sat Dec  8 10:44:46 2012    dbscan-9375.profile

         3325826313 function calls (3146135898 primitive calls) in 14862.432 seconds

   Ordered by: file name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:5699(__array_finalize__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:745(_DomainTan)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:5794(_extrema_operation)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:5500(mvoid)
        4    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:2437(__get__)
        1    0.001    0.001    0.004    0.004 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:21(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:881(_MaskedBinaryOperation)
       23    0.000    0.000    0.002    0.000 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:5915(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:2465(MaskedIterator)
       26    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:816(__init__)
        8    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:7124(getdoc)
        3    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:731(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:5696(__new__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:5863(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:1027(_DomainedBinaryOperation)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:761(_DomainSafeDivide)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:125(MAError)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:790(__init__)
       40    0.000    0.000    0.002    0.000 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:106(get_object_signature)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:751(__init__)
        6    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:1047(__init__)
